REGION TYPE,REGION,YEAR,WEEK,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2020,40,1.11126,32582,773,1146,352,1246,616,408,91,36715
States,Alaska,2020,40,1.76528,3010,46,2,1,0,0,54,12,3059
States,Arizona,2020,40,1.025,5949,3629,747,2,97,15,107,24,10439
States,Arkansas,2020,40,1.18079,10996,2718,1444,18,35,33,180,53,15244
States,California,2020,40,0.849375,27051,9827,6491,5494,5208,3383,488,110,57454
States,Colorado,2020,40,0.827505,2013,8695,11911,734,1035,2923,226,65,27311
States,Connecticut,2020,40,1.09379,15995,9053,3757,1881,417,6107,407,70,37210
States,Delaware,2020,40,0.356234,3007,8,1864,491,461,64,21,17,5895
States,District of Columbia,2020,40,1.10059,6381,1104,1316,120,100,65,100,4,9086
States,Florida,2020,40,0,0,0,0,0,0,0,0,0,0
States,Georgia,2020,40,1.72561,34883,12456,11631,776,2379,1099,1091,91,63224
States,Hawaii,2020,40,0.793167,2305,466,27,330,78,72,26,25,3278
States,Idaho,2020,40,1.31215,3240,3395,3042,89,8,362,133,35,10136
States,Illinois,2020,40,0.823758,34403,617,15719,12569,1001,7314,590,182,71623
States,Indiana,2020,40,1.02714,33176,4687,6359,1,1925,681,481,109,46829
States,Iowa,2020,40,1.84388,505,1653,1978,148,72,525,90,16,4881
States,Kansas,2020,40,1.12282,5029,3792,926,149,120,137,114,24,10153
States,Kentucky,2020,40,1.35734,4614,3571,1826,64,197,116,141,57,10388
States,Louisiana,2020,40,2.5606,3774,1833,20140,450,85,7382,862,81,33664
States,Maine,2020,40,0.515914,1628,7643,1157,523,606,1042,65,42,12599
States,Maryland,2020,40,0.842349,31256,4291,637,777,490,2200,334,64,39651
States,Massachusetts,2020,40,0.665719,33256,26808,1706,1820,741,411,431,97,64742
States,Michigan,2020,40,0.292731,1217,14086,4389,267,142,54,59,67,20155
States,Minnesota,2020,40,0.794809,1639,16743,7249,15,134,264,207,47,26044
States,Mississippi,2020,40,1.49199,4131,1178,3229,1303,1104,47,164,33,10992
States,Missouri,2020,40,1.26397,17368,537,290,5104,329,265,302,50,23893
States,Montana,2020,40,0.997293,6592,328,75,7,3,14,70,30,7019
States,Nebraska,2020,40,1.14873,9375,16,111,13,137,272,114,68,9924
States,Nevada,2020,40,0.577082,5297,2476,206,231,134,147,49,25,8491
States,New Hampshire,2020,40,0.694816,1124,538,134,66,2,7,13,11,1871
States,New Jersey,2020,40,1.45455,19995,64,1027,1328,317,2019,360,36,24750
States,New Mexico,2020,40,0.946852,13974,1620,78,1157,450,464,168,42,17743
States,New York,2020,40,0.881096,21900,19700,4380,82,14,3,406,125,46079
States,North Carolina,2020,40,0.870995,55879,12180,8271,4330,1731,3373,747,137,85764
States,North Dakota,2020,40,2.49066,721,1177,277,214,9,11,60,11,2409
States,Ohio,2020,40,0.807486,4141,1174,6532,170,379,855,107,40,13251
States,Oklahoma,2020,40,0.72214,1611,2374,1486,509,13,100,44,24,6093
States,Oregon,2020,40,1.31025,27320,5846,392,848,12,3,451,87,34421
States,Pennsylvania,2020,40,0.821621,25555,7426,3005,7651,11809,2610,477,125,58056
States,Rhode Island,2020,40,0.320671,8098,3316,336,365,9,38,39,27,12162
States,South Carolina,2020,40,1.39891,1255,5261,1707,566,73,145,126,23,9007
States,South Dakota,2020,40,0.790378,7291,695,385,254,70,35,69,31,8730
States,Tennessee,2020,40,1.333,16938,3352,6382,2421,134,3031,430,74,32258
States,Texas,2020,40,1.34739,21292,8491,1300,5966,3048,1836,565,65,41933
States,Utah,2020,40,0.729255,18589,517,1552,625,2528,2243,190,50,26054
States,Vermont,2020,40,0.819441,2607,762,17,3,31,119,29,11,3539
States,Virginia,2020,40,0.927271,81643,3863,952,1449,85,116,817,162,88108
States,Washington,2020,40,0.660884,4016,2905,340,984,6638,2064,112,39,16947
